"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2021","298.95","304.90","310.25","297.30","19.63M","-3.13%"
"09/17/2021","308.60","312.00","315.35","306.00","24.97M","-0.98%"
"09/16/2021","311.65","313.40","315.00","307.65","26.25M","-0.10%"
"09/15/2021","311.95","306.10","313.00","306.10","26.81M","1.91%"
"09/14/2021","306.10","302.25","307.20","302.20","23.23M","1.63%"
"09/13/2021","301.20","299.00","302.00","295.50","16.34M","0.75%"
"09/09/2021","298.95","294.00","303.50","293.55","34.02M","1.25%"
"09/08/2021","295.25","293.50","298.80","291.60","14.92M","0.22%"
"09/07/2021","294.60","297.35","297.80","290.90","14.33M","-0.96%"
"09/06/2021","297.45","297.50","298.95","296.00","16.62M","0.64%"
"09/03/2021","295.55","292.50","296.45","292.00","16.59M","0.82%"
"09/02/2021","293.15","295.25","296.30","291.70","14.91M","-0.71%"
"09/01/2021","295.25","289.00","297.40","287.30","33.10M","2.77%"
"08/31/2021","287.30","291.75","291.95","286.10","36.95M","-1.59%"
"08/30/2021","291.95","290.10","293.50","289.90","17.22M","2.17%"
"08/27/2021","285.75","282.90","286.80","281.70","13.48M","0.51%"
"08/26/2021","284.30","284.85","287.35","281.65","17.86M","-0.04%"
"08/25/2021","284.40","282.80","289.20","282.45","31.54M","1.64%"
"08/24/2021","279.80","278.50","281.50","268.45","37.59M","1.03%"
"08/23/2021","276.95","287.20","288.30","275.00","24.50M","-2.17%"
"08/20/2021","283.10","289.50","290.70","281.00","32.58M","-3.49%"
"08/18/2021","293.35","296.90","297.75","292.60","18.00M","-1.46%"
"08/17/2021","297.70","302.80","302.80","292.80","25.54M","-1.98%"
"08/16/2021","303.70","305.95","307.85","303.05","14.35M","-1.16%"
"08/13/2021","307.25","308.80","311.50","303.05","34.92M","0.41%"
"08/12/2021","306.00","297.30","307.40","297.30","33.65M","3.57%"
"08/11/2021","295.45","295.30","297.80","286.45","20.80M","0.42%"
"08/10/2021","294.20","297.90","300.20","291.00","15.17M","-1.31%"
"08/09/2021","298.10","300.75","304.20","296.05","16.99M","-0.65%"
"08/06/2021","300.05","300.05","303.40","297.65","16.00M","0.12%"
"08/05/2021","299.70","295.50","300.90","292.75","20.70M","0.52%"
"08/04/2021","298.15","304.75","306.45","297.20","26.19M","-1.83%"
"08/03/2021","303.70","298.50","304.50","297.70","31.06M","2.31%"
"08/02/2021","296.85","299.15","299.40","295.60","19.27M","0.99%"
"07/30/2021","293.95","294.00","300.00","293.25","30.59M","0.36%"
